"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
20.592323	20.937954	21.128292	21.20716	21.302668	20.610971	21.25493
23.094208	23.110792	23.107744	22.881277	23.496716	22.961004	23.188414
20.96336	21.020073	20.903353	20.939852	21.633125	21.220669	21.435589
22.610022	22.996286	22.864895	22.710276	23.140104	22.587683	22.756678
21.18406	21.37991	20.85799	20.73411	20.915722	21.429909	21.205143
22.199982	22.316414	22.224833	22.289404	21.97683	22.259008	22.306784
22.93916	23.00968	22.847193	22.646984	22.252584	22.743832	22.73661
22.988834	23.51276	22.612242	22.725046	23.975164	23.55567	22.826275
23.193308	23.387516	22.918293	22.91052	22.968653	23.173286	23.114038
22.30375	23.087978	22.391861	22.505709	22.900095	22.558151	23.137064
23.730734	24.01224	23.853275	23.758669	23.601337	23.681183	23.7553
28.336563	28.504631	27.185122	29.196665	28.18468	28.280594	28.000288
27.968393	28.420717	27.951149	27.954376	28.365578	27.147882	28.513115
30.144255	29.899654	18.54649	30.32782	30.289404	30.599674	30.766064
28.430885	29.151594	28.757448	28.625378	29.490757	28.936363	29.191319
30.747404	30.296326	29.578297	29.861147	30.249392	30.47028	31.105795
20.443808	21.462744	21.198555	20.75598	21.54018	20.663132	21.262573
23.127068	23.440308	23.48651	23.404701	23.33525	22.961632	23.523623
24.282919	24.4748	24.259449	24.452988	24.015055	24.221367	24.609383
20.741581	21.87502	21.953568	21.526464	22.813358	20.822525	21.9571
24.554222	24.756569	24.876568	25.131914	24.926968	24.652878	24.817549
22.96479	23.023216	22.741264	22.827538	22.781168	22.800894	22.910202
17.49805	17.866198	17.518414	17.312513	17.249035	17.341555	17.187574
26.743721	25.296146	24.943342	25.070852	25.385471	25.425657	25.244465
18.494968	19.176744	18.869797	18.570759	19.638006	18.672203	19.603596
30.167032	31.505816	31.304337	31.59648	31.82288	30.735268	31.774372
24.35665	25.005907	24.677307	24.349295	24.680595	24.793976	24.663267
25.639345	26.606695	26.15338	25.926826	26.347641	25.972683	26.331404
24.494726	25.19255	24.218084	24.64484	24.86567	24.689816	24.885752
23.480383	23.560013	23.602356	23.449482	23.965315	23.677628	23.935072
25.67893	26.148752	25.601305	25.522078	25.815132	25.641188	26.164762
31.557749	31.425089	30.737133	30.998777	31.590082	31.419674	31.557838
