Refseq;Cyproconazole_Fold_Regulation;Cyproconazole_pvalue;Fluxapyroxad_Fold_Regulation;Fluxapyroxad_pvalue;Azoxystrobin_Fold_Regulation;Azoxystrobin_pvalue;Chlorotoluron_Fold_Regulation;Chlorotoluron_pvalue;Thiabendazole_Fold_Regulation;Thiabendazole_pvalue;Phenylphenol_Fold_Regulation;Phenylphenol_pvalue
NM_006644;1.22;0.270777;1.16;0.327281;-1.06;0.766636;1.45;0.032063;1.13;0.476611;1.03;0.783338
NM_013247;1.27;0.343807;1.13;0.679761;1.4;0.18203;1.42;0.149277;1.01;0.97548;-1.04;0.822443
NM_153692;1;0.909353;1.55;0.087142;-1.29;0.692582;-1.87;0.65036;-1.29;0.862148;-1;0.705115
NM_000201;1.17;0.276427;-1.17;0.576318;-1.15;0.563586;-1.24;0.225746;-1.18;0.356059;-1.15;0.411821
NM_005896;1.56;0.210264;1.03;0.929544;1.13;0.816386;1.03;0.906343;1.2;0.642752;1.07;0.948911
NM_002168;-1.05;0.752005;1;0.938472;-1.06;0.838859;-2.22;0.188717;-1.36;0.27303;1.04;0.937085
NM_005530;1.23;0.470633;1.06;0.850968;-1;0.943776;1.09;0.772276;1.07;0.830146;1.03;0.961839
NM_174856;1.01;0.903193;1.01;0.976286;-1.07;0.744952;-1.18;0.238392;-1.05;0.697535;1.01;0.992728
NM_174869;1.01;0.992876;-1.13;0.425751;-1.03;0.783338;-1.09;0.533301;-1.04;0.805675;-1.05;0.659719
NM_024013;-1.44;0.035131;-1.37;0.10993;-1.74;0.02899;-2.05;0.011244;-1.32;0.415244;-1.53;0.153511
NM_000619;-1.17;0.442742;-1.14;0.59595;-1.38;0.267363;-1.63;0.140454;-1.19;0.534874;-1.11;0.743125
NM_000572;1.13;0.698993;-1.01;0.843463;-1.35;0.235132;-1.77;0.102065;-1.29;0.377804;-1.07;0.964326
NM_002188;1.63;0.319712;1.11;0.863847;-1.29;0.417003;-1.35;0.482058;-2.24;0.410988;-1.51;0.943692
NM_000575;1.68;0.042573;-1.56;0.731545;1.93;0.089395;1.53;0.186721;-1.52;0.979194;1.1;0.642425
NM_000576;1.65;0.279359;1.1;0.573831;1.06;0.610308;5.38;0.000519;1.83;0.013636;1.25;0.268668
NM_000586;-1.17;0.442742;-1.2;0.534174;-1.06;0.988974;-1.63;0.140454;-1.19;0.534874;-1.29;0.389605
NM_000589;-1.69;0.47304;-2.29;0.093467;-2.66;0.071794;-1.2;0.951726;-1.17;0.856896;-2.82;0.072473
NM_000879;-1.13;0.971689;-1.42;0.470348;-1.95;0.229582;-2.6;0.427443;-2.29;0.163622;-3.15;0.122359
NM_000600;1.2;0.381058;-1.4;0.086647;-1.08;0.650181;2.38;0.001914;-1.28;0.298128;-2.25;0.012133
NM_031479;-3.08;0.002163;-3.25;0.137745;-2.84;0.02229;-3.81;0.014177;-1.49;0.240822;-1.79;0.326334
NM_000887;1.36;0.771153;2.55;0.249467;2.28;0.367914;9.88;0.062649;-1.42;0.360671;1.63;0.621611
